search_name,cleaned_province
องค์การบริหารส่วนตำบลบางแก้ว,เพชรบุรี
องค์การบริหารส่วนตำบลสำมะโรง,เพชรบุรี
เทศบาลตำบลหนองจอก,เพชรบุรี
องค์การบริหารส่วนตำบลท่าตะคร้อ,เพชรบุรี
องค์การบริหารส่วนตำบลหนองหญ้าปล้อง,เพชรบุรี
องค์การบริหารส่วนตำบลปางหินฝน,เชียงใหม่
เทศบาลตำบลสันกลาง,เชียงใหม่
องค์การบริหารส่วนตำบลช่างเคิ่ง,เชียงใหม่
เทศบาลตำบลสันโป่ง,เชียงใหม่
เทศบาลตำบลบ้านแม,เชียงใหม่
เทศบาลตำบลบวกค้าง,เชียงใหม่
เทศบาลตำบลสันทราย,เชียงใหม่
องค์การบริหารส่วนตำบลห้วยแก้ว,เชียงใหม่
องค์การบริหารส่วนตำบลบ้านจันทร์,เชียงใหม่
เทศบาลตำบลริมเหนือ,เชียงใหม่
เทศบาลตำบลสันทรายหลวง,เชียงใหม่
องค์การบริหารส่วนตำบลเมืองก๋าย,เชียงใหม่
องค์การบริหารส่วนตำบลเมืองแหง,เชียงใหม่
เทศบาลตำบลแม่อาย,เชียงใหม่
องค์การบริหารส่วนตำบลออนเหนือ,เชียงใหม่
เทศบาลตำบลพระธาตุปู่ก่ำ,เชียงใหม่
องค์การบริหารส่วนตำบลโหล่งขอด,เชียงใหม่
เทศบาลตำบลดอนแก้ว,เชียงใหม่
เทศบาลตำบลหนองหาร,เชียงใหม่
เทศบาลตำบลสันผักหวาน,เชียงใหม่
เทศบาลตำบลท่าศาลา,เชียงใหม่
เทศบาลตำบลขี้เหล็ก,เชียงใหม่
เทศบาลตำบลป่าไผ่,เชียงใหม่
องค์การบริหารส่วนตำบลแม่นาวาง,เชียงใหม่
องค์การบริหารส่วนตำบลสบโขง,เชียงใหม่
